s,level,shiver
0,50,0
734.57,50,0
744.52,49,0
747.24,50,0
750.05,50,0
780.05,50,0
810.05,50,0
840.05,50,0
870.05,50,0
900.05,50,0
930.05,50,0
941.71,49,0
945.47,48,0
946.58,47,0
947.04,46,0
947.55,45,0
960.05,45,0
990.05,45,0
1020.05,45,0
1050.05,45,0
1080.05,45,0
1110.05,45,0
1140.06,45,0
1170.06,45,0
1200.06,45,0
1230.06,45,0
1260.06,45,0
1290.06,45,0
1320.06,45,0
1350.06,45,0
1380.06,45,0
1410.06,45,0
1440.06,45,0
1470.06,45,0
1500.06,45,0
1530.06,45,0
1560.06,45,0
1590.06,45,0
1620.07,45,0
1644.76,44,0
1645.35,43,0
1645.83,42,0
1646.35,41,0
1647,40,0
1650.07,40,0
1680.06,40,0
1710.07,40,0
1740.07,40,0
1742.52,39,0
1770.07,39,0
1800.07,39,0
1814.72,38,0
1815.32,37,0
1815.88,36,0
1816.48,35,0
1817,34,0
1830.07,34,0
1860.07,34,0
1890.07,34,0
1920.07,34,0
1928.24,33,0
1928.71,32,0
1929.16,31,0
1929.6,30,0
1950.07,30,0
1954.99,29,0
1955.9,28,0
1980.07,28,0
2010.07,28,0
2020.23,27,0
2020.76,26,0
2040.07,26,0
2070.07,26,0
2100.08,26,0
2102.72,25,0
2117.53,24,0
2130.08,24,0
2149.2,23,0
2159.68,22,0
2160.08,22,0
2190.08,22,0
2202.38,21,0
2220.08,21,0
2232.87,20,0
2250.08,20,0
2270.82,19,0
2280.08,19,0
2285.93,18,0
2304.3,17,0
2307.29,16,0
2307.73,15,0
2310.08,15,0
2323.43,14,0
2340.08,14,0
2361.52,13,0
2370.08,13,0
2378.92,12,0
2400.08,12,0
2430.08,12,0
2460.08,12,0
2490.08,12,0
2507.18,11,0
2520.08,11,0
2550.09,11,0
2580.09,11,0
2610.09,11,0
2639.24,10,0
2640.09,10,0
2670.09,10,0
2700.09,10,0
2717.83,9,0
2730.09,9,0
2760.09,9,0
2790.09,9,0
2820.09,9,0
2850.09,9,0
2878.62,8,0
2880.09,8,0
2910.09,8,0
2940.09,8,0
2970.09,8,0
3000.09,8,0
3023,7,0
3030.09,7,0
3054.08,6,0
3060.1,6,0
3090.1,6,0
3120.1,6,0
3134.4,5,0
3150.1,5,0
3180.1,5,0
3210.1,5,0
3218.48,4,0
3240.1,4,0
3270.1,4,0
3300.1,4,0
3315.82,3,0
3330.1,3,0
3360.1,3,0
3390.1,3,0
3420.1,3,0
3450.1,3,0
3480.1,3,0
3512.46,3,0
3542.46,3,0
3572.46,3,0
3602.46,3,0
3621.53,2,0
3632.47,2,0
3662.47,2,0
3692.47,2,0
3722.47,2,0
3752.47,2,0
3782.47,2,0
3812.47,2,0
3842.47,2,0
3872.47,2,0
3902.47,2,0
3932.47,2,0
3962.47,2,0
3992.47,2,0
4022.47,2,0
4052.47,2,0
4082.48,2,0
4112.48,2,0
4142.48,2,0
4172.48,2,0
4202.48,2,0
4232.48,2,0
4250.79,1,0
4262.48,1,0
4292.48,1,0
4304.12,1,1
4322.48,1,1
4352.48,1,1
4382.48,1,1
4412.48,1,1
4442.48,1,1
4472.48,1,1
4502.48,1,1
4532.48,1,1
4562.49,1,1
4592.49,1,1
4622.49,1,1
4652.49,1,1
4682.49,1,1
4712.49,1,1
4742.49,1,1
4772.49,1,1
4802.49,1,1
4832.49,1,1
4862.49,1,1
4892.49,1,1
4922.49,1,1
4952.49,1,1
4982.49,1,1
5012.49,1,1
5042.49,1,1
5072.5,1,1
5102.5,1,1
5132.5,1,1
5162.5,1,1
5192.5,1,1
5222.5,1,1
5252.5,1,1
5282.5,1,1
5312.5,1,1
5342.5,1,1
5372.5,1,1
5397.11,1,2
5402.5,1,2
5432.5,1,2
5462.5,1,2
5492.5,1,2
5522.51,1,2
5552.51,1,2
5582.51,1,2
5612.51,1,2
5642.51,1,2
5672.51,1,2
5702.51,1,2
5709.26,1,1
5712.05,2,1
5713.18,3,1
5714.47,4,1
5715.6,5,1
5716.52,6,1
5732.51,6,1
5762.51,6,1
5792.13,7,1
5792.51,7,1
5822.51,7,1
5852.51,7,1
5871.75,8,1
5882.51,8,1
5912.51,8,1
5942.51,8,1
5965.76,8,0
5968.19,9,0
5968.66,10,0
5972.51,10,0
6002.52,10,0
6032.52,10,0
6062.52,10,0
6092.52,10,0
6095.54,11,0
6122.52,11,0
6152.52,11,0
6176.89,12,0
6182.52,12,0
6212.52,12,0
6231.73,13,0
6242.52,13,0
6260.51,14,0
6261.03,15,0
6261.36,16,0
6261.77,17,0
6262.18,18,0
6262.51,19,0
6262.86,20,0
6272.52,20,0
6302.52,20,0
6332.52,20,0
6354.43,21,0
6355.53,22,0
6362.52,22,0
6392.52,22,0
6396.98,23,0
6398.4,24,0
6422.52,24,0
6436.64,25,0
6437.22,26,0
6452.52,26,0
6482.53,26,0
6485,27,0
6512.53,27,0
6516.26,28,0
6517.03,29,0
6517.64,30,0
6518.4,31,0
6519.52,32,0
6520.34,33,0
6521.04,34,0
6521.55,35,0
6522,36,0
6522.33,37,0
6522.65,38,0
6522.97,39,0
6523.28,40,0
6542.53,40,0
6572.53,40,0
6576.77,41,0
6577.52,42,0
6578.42,43,0
6602.53,43,0
6609.52,44,0
6610.28,45,0
6610.9,46,0
6612.06,47,0
6632.53,47,0
6662.53,47,0
6692.53,47,0
6722.53,47,0
6725.89,48,0
6726.4,49,0
6726.87,50,0
6752.53,50,0
